wp_index,x,y,segment_length_m,cumulative_length_m
203,3.034470432518642,-2.6862009836457474,0.05,10.96127
204,3.034470432518642,-2.6362009829006894,0.05,11.01127
205,3.034470432518642,-2.5862009821556313,0.05,11.06127
206,3.034470432518642,-2.5362009814105733,0.05,11.11127
207,3.034470432518642,-2.486200980665515,0.05,11.16127
208,3.034470432518642,-2.436200979920457,0.05,11.21127
209,3.034470432518642,-2.386200979175399,0.05,11.26127
210,3.034470432518642,-2.336200978430341,0.05,11.31127
211,3.034470432518642,-2.286200977685283,0.05,11.36127
212,3.034470432518642,-2.236200976940225,0.05,11.41127
213,3.034470432518642,-2.186200976195167,0.05,11.46127
214,3.034470432518642,-2.136200975450109,0.05,11.51127
215,3.034470432518642,-2.0862009747050507,0.05,11.56127
216,3.034470432518642,-2.0362009739599927,0.05,11.61127
217,3.034470432518642,-1.9862009732149346,0.05,11.66127
218,3.034470432518642,-1.9362009724698765,0.05,11.71127
219,3.034470432518642,-1.8862009717248185,0.05,11.76127
220,3.034470432518642,-1.8362009709797604,0.05,11.81127
221,3.034470432518642,-1.7862009702347024,0.05,11.86127
222,3.034470432518642,-1.7362009694896443,0.05,11.91127
223,2.984470431773584,-1.6862009687445862,0.070711,11.981981
224,2.934470431028526,-1.6362009679995282,0.070711,12.052691
225,2.884470430283468,-1.5862009672544701,0.070711,12.123402
226,2.8344704295384098,-1.536200966509412,0.070711,12.194113
227,2.7844704287933517,-1.486200965764354,0.070711,12.264823
228,2.7344704280482937,-1.436200965019296,0.070711,12.335534
229,2.6844704273032356,-1.386200964274238,0.070711,12.406245
230,2.6344704265581775,-1.3362009635291798,0.070711,12.476955
231,2.5844704258131195,-1.2862009627841218,0.070711,12.547666
232,2.5344704250680614,-1.2362009620390637,0.070711,12.618377
233,2.4844704243230034,-1.1862009612940057,0.070711,12.689087
234,2.4344704235779453,-1.1362009605489476,0.070711,12.759798
235,2.3844704228328872,-1.0862009598038895,0.070711,12.830509
236,2.334470422087829,-1.0362009590588315,0.070711,12.90122
237,2.284470421342771,-0.9862009583137734,0.070711,12.97193
238,2.234470420597713,-0.9362009575687154,0.070711,13.042641
239,2.184470419852655,-0.8862009568236573,0.070711,13.113352
240,2.134470419107597,-0.8362009560785992,0.070711,13.184062
241,2.084470418362539,-0.7862009553335412,0.070711,13.254773
242,2.034470417617481,-0.7362009545884831,0.070711,13.325484
243,1.9844704168724228,-0.686200953843425,0.070711,13.396194
244,1.9344704161273647,-0.636200953098367,0.070711,13.466905
245,1.8844704153823066,-0.5862009523533089,0.070711,13.537616
246,1.8344704146372486,-0.5362009516082509,0.070711,13.608326
247,1.7844704138921905,-0.4862009508631928,0.070711,13.679037
248,1.7344704131471325,-0.43620095011813476,0.070711,13.749748
249,1.6844704124020744,-0.3862009493730767,0.070711,13.820458
250,1.6344704116570163,-0.33620094862801864,0.070711,13.891169
251,1.5844704109119583,-0.2862009478829606,0.070711,13.96188
