t,joy_throttle,joy_steering,U_1
16.1529681682587,1,0,0.2
16.2547564506531,1,0,0.2
16.3042688369751,1,0,0.2
16.3625395298004,1,0,0.2
16.4043576717377,1,0,0.2
16.4599006175995,1,0,0.2
16.8008546829224,1,0,0.2
16.8009538650513,1,0,0.2
16.8199682235718,1,0,0.2
16.8200542926788,1,0,0.2
16.8231406211853,1,0,0.2
16.8599438667297,1,0,0.2
16.9088835716248,1,0,0.2
16.9764442443848,1,0,0.2
17.0122699737549,1,0,0.2
17.0587282180786,1,0,0.2
17.1147291660309,1,0,0.2
17.1621971130371,1,0,0.2
17.2128448486328,1,0,0.2
17.2721652984619,1,0,0.2
17.3169059753418,1,0,0.2
17.3642683029175,1,0,0.2
17.4203672409058,1,0,0.2
17.4684467315674,1,0,0.2
17.517315864563,1,0,0.2
17.5767498016357,1,0,0.2
17.6267304420471,1,0,0.2
17.7265093326569,1,0,0.2
17.7736477851868,1,0,0.2
17.8266086578369,1,0,0.2
17.878387928009,1,0,0.2
17.9327492713928,1,0,0.2
17.975855588913,1,0,0.2
18.0172166824341,1,0,0.2
18.0831387042999,1,0,0.2
18.1308567523956,1,0,0.2
18.2023024559021,1,0,0.2
18.236480474472,1,0,0.2
18.2835831642151,1,0,0.2
18.3232600688934,1,0,0.2
18.4224286079407,1,0,0.2
18.4884989261627,1,0,0.2
18.5300831794739,1,0,0.2
18.5738055706024,1,0,0.2
18.6274881362915,1,0,0.2
18.6954393386841,1,0,0.2
18.7808194160461,1,0,0.2
18.8238661289215,1,0,0.2
18.8755657672882,1,0,0.2
18.951922416687,1,0,0.2
19.0548887252808,1,0,0.2
19.0790174007416,1,0,0.2
19.138302564621,1,0,0.2
19.185558795929,1,0,0.2
19.248943567276,1,0,0.2
19.2825801372528,1,0,0.2
19.6237211227417,1,0,0.2
19.6254749298096,1,0,0.2
19.6256301403046,1,0,0.2
19.6271579265595,1,0,0.2
19.700722694397,1,0,0.2
19.7901260852814,1,0,0.2
19.8402981758118,1,0,0.2
19.9484348297119,1,0,0.2
19.9983704090118,1,0,0.2
20.0325617790222,1,0,0.2
20.0849528312683,1,0,0.2
20.1628601551056,1,0,0.2
20.2373380661011,1,0,0.2
20.2375144958496,1,0,0.2
20.3022632598877,1,0,0.2
20.3806822299957,1,0,0.2
20.4353628158569,1,0,0.2
20.5133326053619,1,0,0.2
20.5529184341431,1,0,0.2
20.5993888378143,1,0,0.2
20.6369204521179,1,0,0.2
20.6981315612793,1,0,0.2
20.7985484600067,1,0,0.2
20.8425514698029,1,0,0.2
20.9200639724731,1,0,0.2
20.9463095664978,1,0,0.2
21.003123998642,1,0,0.2
21.038384437561,1,0,0.2
21.1125755310059,1,0,0.2
21.1550216674805,1,0,0.2
21.2145793437958,1,0,0.2
21.2388007640839,1,0,0.2
21.3587324619293,1,0,0.2
21.4040174484253,1,0,0.2
21.4430510997772,1,0,0.2
21.48708152771,1,0,0.2
21.5361051559448,1,0,0.2
21.6420516967773,1,0,0.2
21.7822585105896,1,0,0.2
21.8017046451569,1,0,0.2
21.8522641658783,1,0,0.2
21.9608821868897,1,0,0.2
